Date,Close,High,Low,Open,Volume,MA5,MA20,RSI14
2025-07-10,1085.5302734375,1085.5302734375,1075.66181640625,1080.5960449218749,22350503,1072.7013427734375,1050.744058227539,64.54853445444809
2025-07-11,1085.5302734375,1085.5302734375,1075.66181640625,1080.5960449218749,28249780,1075.661865234375,1054.198013305664,64.54853445444809
2025-07-14,1080.59619140625,1085.5304205907535,1070.727733037243,1085.5304205907535,25760632,1078.622412109375,1057.6519744873046,61.648384754806514
2025-07-15,1095.39892578125,1100.333155176661,1075.662008199606,1080.5962375950169,45416390,1084.543505859375,1060.8592254638672,66.50989106406027
2025-07-16,1115.1358642578125,1115.1358642578125,1105.2674052820796,1105.2674052820796,31013743,1092.4383056640625,1064.5599029541015,71.66695956372837
2025-07-17,1115.1358642578125,1120.070093745679,1100.3331757942133,1115.1358642578125,30648595,1098.359423828125,1069.2474212646484,71.66695956372837
2025-07-18,1139.8070068359375,1144.7412363027597,1129.938547902293,1139.8070068359375,46645034,1109.2147705078125,1074.181655883789,76.83764284031719
2025-07-21,1134.8726806640625,1134.8726806640625,1120.069993524966,1129.938451617697,26749324,1120.070068359375,1080.5961547851562,73.93156058301462
2025-07-22,1115.1358642578125,1144.7412411850112,1115.1358642578125,1129.9385527214117,50457506,1124.0174560546875,1084.5435485839844,63.574208044358045
2025-07-23,1129.9385986328125,1129.9385986328125,1120.0701392561068,1125.0043689444597,29747757,1126.9780029296876,1088.2442260742187,67.27694036658754
2025-07-24,1129.9385986328125,1139.8070580095182,1129.9385986328125,1134.8728283211653,15055463,1129.9385498046875,1091.698193359375,67.27694036658754
2025-07-25,1129.9385986328125,1139.8070580095182,1125.0043689444597,1134.8728283211653,22476546,1127.9648681640624,1094.905450439453,67.27694036658754
2025-07-28,1129.9385986328125,1144.7412876978713,1129.9385986328125,1139.8070580095182,20606376,1126.9780517578124,1099.0995483398438,67.27694036658754
2025-07-29,1120.070068359375,1129.93852711144,1110.20160960731,1129.93852711144,31763255,1127.964892578125,1101.566668701172,61.65684271861828
2025-07-30,1139.8070068359375,1144.7412363027597,1129.938547902293,1134.8727773691153,34182363,1129.93857421875,1105.0206359863282,67.50371191678967
2025-07-31,1144.7412109375,1149.6754402949894,1139.8069815800109,1144.7412109375,33230751,1132.8990966796875,1108.4746032714843,68.78520991437465
2025-08-04,1120.070068359375,1120.070068359375,1110.20160960731,1115.1358389833424,23939021,1130.925390625,1110.9417236328125,56.73734655060805
2025-08-05,1134.8726806640625,1134.8726806640625,1125.0042225713316,1129.938451617697,17012960,1131.91220703125,1114.395684814453,61.13578620558978
2025-08-06,1110.20166015625,1120.070119357639,1110.20166015625,1115.1358897569446,22023406,1129.938525390625,1116.6160949707032,51.701260910323406
2025-08-07,1164.4781494140625,1164.4781494140625,1139.8070021807137,1144.7412316273835,61370031,1134.87275390625,1121.0569091796874,64.63245835395293
2025-08-08,1159.5438232421875,1169.4122813123338,1154.6095942071142,1164.4780522772605,25958258,1137.8332763671874,1124.757586669922,62.98157178759669
2025-08-11,1164.4781494140625,1179.2808377540716,1149.6754610740531,1154.609690520723,35579367,1146.714892578125,1128.70498046875,63.972595880942
2025-08-12,1164.4781494140625,1174.346608307402,1154.609690520723,1164.4781494140625,28917167,1152.635986328125,1132.8990783691406,63.972595880942
2025-08-13,1184.2149658203125,1184.2149658203125,1169.4122787475585,1169.4122787475585,37809952,1167.4386474609375,1137.3398803710938,67.95255216148905
2025-08-14,1159.5438232421875,1174.3465103474068,1159.5438232421875,1169.4122813123338,32991791,1166.4517822265625,1139.5602783203126,59.15549756659361
2025-08-15,1164.4781494140625,1169.4123788607321,1154.609690520723,1159.5439199673926,22231552,1167.4386474609375,1142.027392578125,60.26350915005797
2025-08-18,1164.4781494140625,1169.4123788607321,1154.609690520723,1154.609690520723,18219895,1167.4386474609375,1143.2609497070312,60.26350915005797
2025-08-19,1169.4122314453125,1169.4122314453125,1159.5437737959849,1164.4780026206486,17867547,1168.4254638671875,1144.9879272460937,61.475489823522665
2025-08-20,1120.070068359375,1149.6754446155699,1120.070068359375,1149.6754446155699,66982023,1155.596484375,1145.234637451172,46.27522316426683
2025-08-21,1134.8726806640625,1139.806909710428,1125.0042225713316,1125.0042225713316,23424804,1150.662255859375,1145.4813415527344,50.24944413144623
2025-08-22,1120.070068359375,1139.806985863505,1120.070068359375,1139.806985863505,19205763,1141.7806396484375,1144.9879150390625,46.54174301839589
2025-08-25,1154.609619140625,1164.4780774238782,1144.7411608573718,1149.6753899989985,25103514,1139.80693359375,1146.2214660644531,54.90320366066904
2025-08-26,1159.5438232421875,1169.4122813123338,1144.7411361369682,1149.6753651720412,35508897,1137.833251953125,1147.701727294922,55.962875556722835
2025-08-27,1174.3465576171875,1174.3465576171875,1164.4780991498162,1174.3465576171875,21952558,1148.6885498046875,1150.4155517578124,59.070121970949515
2025-08-28,1144.7412109375,1169.412357724946,1144.7412109375,1169.412357724946,19975237,1150.662255859375,1150.6622619628906,51.27729959512983
2025-08-29,1144.7412109375,1169.412357724946,1144.7412109375,1164.478128367457,19522740,1155.596484375,1150.6622619628906,51.27729959512983
2025-09-01,1149.6754150390625,1149.6754150390625,1129.9384980426837,1134.8727272917783,22018940,1154.6096435546874,1152.142529296875,52.48884263035955
2025-09-02,1144.7412109375,1159.5438990099676,1139.8069815800109,1154.6096696524785,14037411,1151.64912109375,1152.6359558105469,51.11990943814832
2025-09-03,1144.7412109375,1144.7412109375,1129.9385228650324,1139.8069815800109,19511981,1145.7280517578124,1154.3629333496094,51.119909438148305
2025-09-04,1144.7412109375,1159.5438990099676,1144.7412109375,1154.6096696524785,24333323,1145.7280517578124,1153.3760864257813,51.11990943814832
2025-09-05,1164.4781494140625,1164.4781494140625,1154.609690520723,1159.5439199673926,27133819,1149.675439453125,1153.622802734375,56.75462102949993
2025-09-08,1164.4781494140625,1179.2808377540716,1164.4781494140625,1179.2808377540716,27281959,1152.635986328125,1153.622802734375,56.75462102949993
2025-09-09,1184.2149658203125,1184.2149658203125,1174.34650777181,1179.280736796061,31329096,1160.5307373046876,1154.6096435546874,61.854394482938076
2025-09-10,1208.8861083984375,1213.8203374123086,1199.0176503706953,1203.9518793845664,39665156,1173.359716796875,1155.8432006835938,67.080324269963
2025-09-11,1223.6888427734375,1243.4257595923639,1218.754613568706,1238.4915303876323,30345708,1189.1492431640625,1159.0504516601563,69.7574843339077
2025-09-12,1243.4256591796875,1243.4256591796875,1233.5572015671503,1238.491430373419,26492972,1204.9387451171874,1162.9978271484374,72.91970399769535
2025-09-15,1238.4915771484375,1243.4258065394672,1233.5573477574078,1243.4258065394672,24589707,1219.7414306640626,1166.6984985351562,70.92317224879518
2025-09-16,1268.21533203125,1273.169298171997,1248.3994674682617,1253.3534336090088,40130070,1236.54150390625,1171.638653564453,75.30900361030243
